Source,Target,Weight20192,Weight20201,Weight20202
p0449,p961,0.3353,0.4136,0.4713
p0701,p0721,0.594,0.7666,0.589
p0702,p0722,0.2543,0.3095,0.3244
p0702,p0723,0.2766,0.3436,0.358
p0703,p0725,0.3252,0.311,0.3363
p0718,p0737,0.2694,0.2704,0.3161
p09,r94120,0.4281,0.3963,0.3301
p220,p284,0.4332,0.4583,0.4546
p220,p590,0.3972,0.4394,0.4442
p220,p612,0.4985,0.4943,0.5139
p284,p2912,0.3022,0.3142,0.3293
p284,p590,0.4355,0.4499,0.4271
p284,p612,0.4899,0.4755,0.5092
p590,p612,0.374,0.382,0.4038
q211,q250,0.2871,0.265,0.3006
q2545,q258,0.2495,0.3621,0.3922
r269,r6889,0.3156,0.3404,0.3591
r278,z736,0.0673,0.0414,0.3597
r402110,r402210,0.6476,0.8547,0.5115
r402111,r402211,0.8028,0.8608,0.8436
r402111,r402311,0.8126,0.7784,0.7917
r402112,r402212,0.7649,0.7509999999999999,0.7499
r402112,r402312,0.6923,0.6765,0.6881
r402113,r402213,0.5724,0.5984,0.575
r402113,r402313,0.4229,0.5161,0.5524
r402114,r402214,0.5293,0.5486,0.4869
r402114,r402314,0.5272,0.5449,0.4903
r402122,r402222,0.2836,0.2869,0.3096
r402122,r402342,0.3398,0.3122,0.3096
r402122,r402352,0.2973,0.2943,0.3892
r402123,r402343,0.3106,0.2652,0.3895
r402124,r402214,0.3156,0.29100000000000004,0.3232
r402124,r402344,0.3215,0.2946,0.3222
r402131,r402351,0.3214,0.1434,0.3032
r402141,r402241,0.3526,0.3319,0.4066
r402141,r402251,0.7262,0.6447,0.7002
r402141,r402361,0.8665,0.7542,0.8655
r402142,r402252,0.8220000000000001,0.7826,0.7703
r402142,r402362,0.9102,0.8863,0.8947
r402143,r402253,0.8051,0.7013,0.7691
r402143,r402363,0.8659,0.8596,0.8763
r402144,r402244,0.3474,0.5003,0.4384
r402144,r402254,0.5068,0.3731,0.3421
r402144,r402364,0.6107,0.6004,0.6482
r402211,r402311,0.7901,0.7823,0.7405
r402212,r402312,0.6301,0.6178,0.609
r402213,r402313,0.3012,0.3588,0.4414
r402214,r402314,0.3689,0.3722,0.4663
r402223,r402343,0.2522,0.2055,0.3036
r402223,r402353,0.3049,0.2688,0.3032
r402224,r402354,0.3442,0.298,0.3532
r402241,r402361,0.3371,0.2541,0.3926
r402243,r402363,0.2457,0.349,0.3226
r402244,r402364,0.3467,0.4309,0.3952
r402251,r402361,0.77,0.7683,0.758
r402252,r402362,0.8511,0.8353,0.8169
r402253,r402363,0.8287,0.7664,0.7953
r402254,r402364,0.6297,0.4746,0.3672
