Source,Target,Weight20201
c7802,c787,0.0959
c7802,c7931,0.0887
c7802,c7951,0.0794
c7802,c7989,0.0925
c7802,g893,0.0762
c7802,j910,0.0777
c781,c7971,0.055
c781,c7972,0.0577
c782,j910,0.0801
c784,c785,0.1534
c784,c786,0.0636
c784,c7889,0.0824
c785,c786,0.093
c785,c7889,0.0619
c785,c7911,0.0683
c785,c7961,0.0611
c785,c7982,0.1026
c786,c787,0.1444
c786,c7889,0.0569
c786,c7951,0.056
c786,c7989,0.069
c786,d630,0.0805
c786,g893,0.1249
c786,j910,0.0698
c786,r180,0.262
c786,r188,0.0627
c786,z9221,0.0504
c787,c7889,0.0513
c787,c7931,0.1244
c787,c7951,0.2423
c787,c7989,0.056
c787,d61810,0.0649
c787,d630,0.128
c787,d6481,0.0616
c787,e43,0.0655
c787,g893,0.1899
c787,j910,0.0764
c787,k831,0.0795
c787,r180,0.0912
c787,r188,0.0684
c787,r64,0.0656
c787,t451x5a,0.1143
c787,z515,0.0863
c787,z9221,0.1017
c787,z923,0.0674
c7889,c7989,0.0582
c7901,c7902,0.3786
c7911,c7982,0.0993
c7931,c7951,0.164
c7931,c7989,0.0508
c7931,d630,0.0522
c7931,g893,0.0805
c7931,g935,0.0691
c7931,g936,0.1661
c7931,j910,0.07
c7931,t451x5a,0.0582
c7931,z85118,0.0507
c7931,z9221,0.0632
c7931,z923,0.0818
c7949,g9520,0.0697
c7949,g9529,0.1144
c7949,m4804,0.0787
c7949,m8458xa,0.071
c7951,c7989,0.0593
c7951,d61810,0.0646
c7951,d630,0.1204
c7951,d6481,0.0696
c7951,e43,0.0604
c7951,e8352,0.0663
c7951,g893,0.227
c7951,j910,0.103
c7951,m8458xa,0.0645
c7951,r64,0.0538
c7951,t451x5a,0.1156
c7951,z515,0.0875
c7951,z853,0.0533
c7951,z9221,0.1045
c7951,z923,0.1284
c7961,c7962,0.5854
c7961,c7982,0.157
c7962,c7982,0.113
c7971,c7972,0.4833
c7989,d630,0.0556
c7989,g893,0.0718
c7a090,c7b02,0.2253
c7a090,c7b09,0.0625
c7a1,c7b8,0.2482
c7a8,c7b02,0.0526
c7a8,c7b8,0.3634
c7a8,e340,0.0528
c7b02,c7b09,0.1802
c7b02,e340,0.1196
c7b09,e340,0.1514
c801,m8458xa,0.0522
c802,t86818,0.0693
c8118,f71,0.0765
c8310,e883,0.0648
c8330,z5111,0.0865
c8333,z5112,0.1569
c8338,z5112,0.0641
c8339,z5111,0.0935
c8339,z5112,0.0727
c8350,c880,0.0573
c8589,d47z1,0.074
c8599,n059,0.057
c9000,d61810,0.0873
c9000,d630,0.0575
c9000,r5081,0.0562
c9000,t451x5a,0.0666
c9000,z9484,0.1432
c9001,z9481,0.0617
c9001,z9484,0.0948
c9002,z5112,0.0502
c9002,z9481,0.0865
c9002,z9484,0.1205
c9010,m4184,0.0593
c9100,d61810,0.1291
c9100,d6481,0.0784
c9100,d701,0.0552
c9100,d709,0.0558
c9100,g620,0.0561
c9100,r5081,0.0962
c9100,t451x5a,0.0682
c9100,z5111,0.1734
c9101,d89811,0.0505
c9101,k1231,0.0682
c9102,k1231,0.0658
c9102,z5112,0.1056
c9110,d801,0.0586
c9200,d61810,0.1265
c9200,d709,0.0597
c9200,d89813,0.0503
c9200,e883,0.0634
c9200,r5081,0.109
c9200,t451x5a,0.0616
c9200,z5111,0.0803
c9200,z9484,0.0798
c9201,d89811,0.1034
c9201,d89813,0.0804
c9201,t865,0.0999
c9201,z9484,0.0815
c9202,d89810,0.0524
c9202,d89811,0.096
c9202,d89813,0.06
c9202,t865,0.1135
c9211,d89811,0.0732
c9211,t8609,0.0649
c9300,e883,0.0709
c946,d7581,0.0889
d0511,d0512,0.0624
d0511,z4001,0.0624
d0512,z4001,0.0667
d069,o9a12,0.0909
d120,d122,0.1678
d120,d123,0.1624
d120,d124,0.1278
d120,d125,0.0902
d120,k640,0.0561
d122,d123,0.2644
d122,d124,0.1705
d122,d125,0.2292
d122,k641,0.058
d123,d124,0.1906
d123,d125,0.2544
d123,d127,0.0575
d123,k644,0.0653
d124,d125,0.1712
d124,k621,0.056
d124,k640,0.0727
d125,d127,0.0811
d132,d135,0.1176
d151,q851,0.1005
d1771,q851,0.0506
d250,d251,0.0887
d250,d252,0.0961
d250,n800,0.0943
d250,n840,0.0598
d250,n921,0.0808
d251,d252,0.1652
d251,n800,0.0561
d251,n801,0.0875
d251,n888,0.05
d251,n920,0.0519
d251,n921,0.0656
d251,n938,0.0596
d251,n946,0.053
d251,n950,0.0678
d251,o3413,0.0989
d252,o3413,0.2154
d259,n920,0.1386
d259,n939,0.0508
d259,o3413,0.3688
d270,d271,0.1119
d270,n83511,0.109
d271,n8301,0.0539
d320,g935,0.0602
d320,g936,0.0619
d333,h9041,0.1068
d333,h9042,0.1381
d3501,d3502,0.1894
d351,e210,0.1304
d352,e220,0.0649
d352,e221,0.1029
d352,e230,0.0552
d352,e232,0.0588
d352,h4742,0.1099
d352,j342,0.0955
d469,d61818,0.0631
d469,d7581,0.0543
d469,r5081,0.0545
d469,z9484,0.0528
d47z1,t8649,0.1035
d47z1,t86818,0.0594
d496,g935,0.0519
d500,k921,0.0511
d500,k922,0.07
d500,n920,0.0623
d509,d62,0.058
d509,d638,0.0713
d509,e1122,0.0606
d509,e8342,0.064
d509,e871,0.0651
d509,e872,0.058
d509,e876,0.0675
d509,i110,0.0529
d509,i129,0.0547
d509,i130,0.0582
d509,i2720,0.0559
d509,k219,0.0537
d509,k449,0.0591
d509,k5900,0.0519
d509,n179,0.0612
d509,n390,0.0517
d509,o9902,0.0596
d509,z794,0.052
d539,d684,0.0618
d539,d6959,0.0624
d539,d696,0.0501
d539,k7030,0.0519
d539,k7031,0.0847
d539,k7290,0.0604
d539,k766,0.0775
d5700,d730,0.0831
d5700,d7389,0.0549
d5700,e83111,0.1573
d5700,m879,0.0757
d5700,q8901,0.0629
d5700,z832,0.1236
d5701,d730,0.0836
d5701,q8901,0.0636
d571,d730,0.0736
d57219,d730,0.0902
d5740,d730,0.1242
d593,d594,0.1767
d593,m311,0.1813
d594,m311,0.1528
d61810,d630,0.0501
d61810,d6481,0.0609
d61810,d709,0.1377
d61810,g893,0.0952
d61810,k1230,0.0692
d61810,k1231,0.0718
d61810,k521,0.0646
d61810,r040,0.0548
d61810,r5081,0.3013
d61810,t451x5a,0.4138
d61810,z5111,0.1453
d61810,z9484,0.0609
d61810,z95828,0.053
d61818,d684,0.0896
d61818,d689,0.0635
d61818,d6959,0.0861
d61818,e43,0.0545
d61818,i8510,0.0697
d61818,k3189,0.0667
d61818,k7030,0.0859
d61818,k7031,0.0846
d61818,k7290,0.1
d61818,k7460,0.1271
d61818,k7581,0.0623
d61818,k766,0.1678
d61818,r188,0.0851
d61818,r5081,0.0589
d61818,r6521,0.0589
d61818,t451x5a,0.0584
d61818,z515,0.05
d62,d631,0.0601
d62,d696,0.1051
d62,d72829,0.085
d62,e039,0.0903
d62,e1122,0.0902
d62,e1165,0.0754
d62,e119,0.07
d62,e43,0.0609
d62,e6601,0.0577
d62,e669,0.068
d62,e7800,0.0651
d62,e785,0.1012
d62,e8339,0.0537
d62,e8342,0.0847
d62,e860,0.0542
d62,e870,0.0591
d62,e871,0.1151
d62,e872,0.1225
d62,e875,0.0751
d62,e876,0.1024
d62,f17210,0.0603
d62,f329,0.0722
d62,f419,0.0607
d62,g4733,0.0585
d62,g8929,0.0643
d62,g9341,0.0686
d62,i10,0.0969
d62,i110,0.0636
d62,i129,0.0896
d62,i130,0.0679
d62,i2510,0.11
d62,i252,0.0576
d62,i480,0.0942
d62,i4891,0.0707
d62,i959,0.1023
d62,j449,0.084
d62,j690,0.0516
d62,j90,0.0622
d62,j9601,0.0843
d62,j9811,0.0743
d62,k219,0.0883
d62,k449,0.0895
d62,k5900,0.0766
d62,k766,0.0672
d62,k921,0.0873
d62,k922,0.1203
d62,m1990,0.0618
d62,m810,0.0566
d62,n170,0.0772
d62,n179,0.1174
d62,n186,0.0586
d62,n390,0.0728
d62,n400,0.0599
d62,r339,0.0504
d62,r578,0.0527
d62,r6521,0.0638
d62,r739,0.0501
d62,z515,0.0633
d62,z66,0.0913
d62,z7901,0.1049
d62,z7902,0.0752
d62,z794,0.072
d62,z7982,0.0997
d62,z7984,0.0684
d62,z79899,0.0876
d62,z8673,0.0605
d62,z87891,0.0943
d62,z9049,0.0526
d62,z951,0.0589
d62,z955,0.0672
d62,z992,0.053
d630,d6481,0.1354
d630,d6959,0.054
d630,e8352,0.0513
d630,g893,0.177
d630,j910,0.0658
d630,t451x5a,0.1183
d630,z5111,0.0765
d630,z9221,0.0796
d630,z923,0.0578
d631,d696,0.087
d631,e039,0.0776
d631,e1122,0.3867
d631,e1140,0.0929
d631,e1142,0.1022
d631,e1151,0.1166
d631,e11621,0.0637
d631,e11649,0.0762
d631,e1165,0.1084
d631,e43,0.0515
d631,e6601,0.0607
d631,e669,0.0526
d631,e7800,0.07
d631,e785,0.0968
d631,e8339,0.1506
d631,e8351,0.0532
d631,e871,0.1202
d631,e872,0.1396
d631,e875,0.2521
d631,e876,0.0527
d631,e8770,0.122
d631,f0390,0.051
d631,f329,0.0574
d631,g4733,0.0744
d631,g8929,0.0577
d631,g9341,0.1021
d631,i120,0.3662
d631,i129,0.1539
d631,i130,0.1462
d631,i132,0.2457
d631,i160,0.0662
d631,i2510,0.1182
d631,i252,0.0771
d631,i255,0.0677
d631,i2720,0.0914
d631,i429,0.0554
d631,i480,0.0856
d631,i4820,0.0598
d631,i4891,0.0653
d631,i5022,0.0738
d631,i5023,0.069
d631,i5032,0.0796
d631,i5033,0.0939
d631,i509,0.0856
d631,i959,0.0685
d631,j189,0.0865
d631,j440,0.0518
d631,j449,0.0674
d631,j90,0.069
d631,j9601,0.0902
d631,j9621,0.0673
d631,k219,0.0649
d631,k5900,0.05
d631,m109,0.0665
d631,n170,0.08
d631,n179,0.1357
d631,n184,0.1518
d631,n186,0.5841
d631,n189,0.0777
d631,n2581,0.1239
d631,n390,0.0751
d631,n400,0.0622
d631,r0602,0.066
d631,r188,0.0535
d631,r6521,0.0628
d631,z515,0.0694
d631,z66,0.087
d631,z7901,0.0856
d631,z7902,0.1059
d631,z794,0.1819
d631,z7952,0.0602
d631,z7982,0.1103
d631,z7984,0.0571
d631,z79890,0.0812
d631,z79899,0.0994
d631,z8249,0.0536
d631,z833,0.0543
d631,z86718,0.0557
d631,z8673,0.0739
d631,z87891,0.0861
d631,z9115,0.0796
d631,z9119,0.0715
d631,z951,0.0768
d631,z955,0.0768
d631,z992,0.547
