Source,Target,Weight20192,Weight20201,Weight20202
a6009,o9832,0.1219,0.1732,0.2736
a630,o98313,0.0575,0.0705,0.0521
a630,o9832,0.1494,0.1056,0.1242
a64,h5501,0.0862,,
a64,m438x6,0.0905,,
a64,n766,0.075,,
a64,o98319,0.0608,,
a689,d219,0.0508,,
a689,j123,0.0564,,
a689,j940,0.075,,
a689,m84477a,0.0905,,
a749,o9832,0.0824,0.0771,0.0949
a749,o9882,0.0943,0.0646,0.076
a78,c689,0.0606,,
a870,b084,0.0566,,
a872,b589,0.0822,,
a872,g02,0.0862,,
a872,g038,0.0544,,
a872,k753,0.0822,,
a872,m24452,0.0717,,
a878,a9230,0.0509,,
a878,a9232,0.2896,,
a878,g541,0.0822,,
a9230,i82602,0.0536,,
a9231,a9232,0.0892,,
a9231,g0490,0.0604,,
a9232,g02,0.2964,,
a9232,g541,0.0632,,
a9232,m62831,0.05,,
b003,b004,0.1561,0.1009,0.1576
b003,c717,0.0588,,
b003,g40111,0.0523,,
b003,h2510,0.0624,,
b004,t375x5a,0.0505,0.0421,0.0194
b009,o9852,0.5227,0.4493,0.3052
b019,c8335,0.0606,,
b0221,b0230,0.0545,,
b0221,b027,0.0818,,
b0221,m7060,0.052000000000000005,,
b0222,b0230,0.0879,,
b0222,h169,0.0728,,
b0222,z8271,0.0597,,
b0223,c50212,0.0555,,
b0223,j120,0.0614,,
b0223,m19039,0.0584,,
b028,h6012,0.0606,,
b081,b960,0.1051,,
b081,d89811,0.0509,,
b081,j8481,0.0632,,
b081,r10814,0.062,,
b081,t8609,0.0659,,
b084,r5601,0.0553,0.0207,
b084,t83192a,0.0539,,
b09,t378x5a,0.0667,,
b181,o9842,0.0896,0.1084,0.1397
b182,d6959,0.0508,0.0454,0.0441
b182,f1110,0.0591,0.0588,0.047
b182,f1120,0.0645,0.0685,0.0541
b182,f1123,0.1187,0.1262,0.1099
b182,f1510,0.0727,0.0733,0.0622
b182,f1520,0.0927,0.0871,0.0798
b182,f332,0.067,0.076,0.0547
b182,f333,0.0563,0.0498,0.0436
b182,k7030,0.0515,0.0443,0.0434
b182,k7290,0.0607,0.0525,0.0643
b182,k7460,0.1052,0.0961,0.0973
b182,k766,0.0813,0.0845,0.0794
b182,r188,0.0503,0.0401,0.0434
b182,z560,0.0624,0.0698,0.0457
b182,z590,0.0971,0.0943,0.0845
b182,z720,0.0552,0.0476,0.0511
b1910,o9842,0.0613,0.0601,0.0468
b1920,d6959,0.0533,0.045,0.0382
b1920,f1010,0.0524,0.0406,0.0459
b1920,f1110,0.0912,0.0804,0.0646
b1920,f1120,0.0571,0.0564,0.0578
b1920,f1123,0.0664,0.0534,0.0558
b1920,f1510,0.1,0.0893,0.0772
b1920,f17210,0.0548,0.0497,0.0451
b1920,f319,0.0521,0.0473,0.0387
b1920,k7030,0.0554,0.0535,0.0492
b1920,k7290,0.0607,0.0682,0.0533
b1920,k7460,0.1203,0.1193,0.1
b1920,k766,0.0799,0.0723,0.0676
b1920,z590,0.0889,0.0749,0.0751
b199,e783,0.0645,,
b199,f1097,0.0552,,
b199,k8040,0.052000000000000005,,
b20,b59,0.0634,0.0513,0.07
b250,b59,0.0581,0.0713,
b258,d89810,0.0522,0.0226,
b259,d89810,0.0582,0.0181,0.0194
b259,d89813,0.0718,0.0476,0.0586
b259,g720,0.0552,0.0233,0.0421
b259,t865,0.0675,0.0295,0.0494
b2790,l040,0.0512,,
b3324,i400,0.0833,0.0571,0.1099
b338,t8613,0.0508,,0.0182
b340,i788,0.0767,,
b340,j0180,0.0822,,
b340,m0820,0.0714,,
b350,e839,0.0525,,
b350,l00,0.0535,,
b360,h524,0.0515,,
b360,q391,0.0736,,
b370,b3781,0.0593,0.0491,0.0417
b372,l22,0.0597,0.0644,0.0587
b372,l304,0.0995,0.086,0.0602
b373,o9882,0.0558,0.0291,0.084
b3742,d229,0.0712,,
b3742,m6740,0.0624,,
b377,b49,0.0554,0.0159,0.0303
b377,t80211a,0.0734,0.0562,0.0772
b383,b3889,0.0604,,
b383,d761,0.0515,,
b383,l959,0.0645,,
b383,s0001xd,0.0784,,
b384,b387,0.1008,0.1113,0.1465
b384,g910,0.075,0.0897,0.1022
b384,g914,0.1025,0.0594,0.0508
b384,t367x5a,0.05,0.0375,0.0152
b384,t8501xa,0.0509,0.0601,0.0649
b384,t8509xa,0.0645,0.0379,0.0291
b3889,d68311,0.0687,,
b3889,g031,0.0587,,
b3889,h6001,0.0654,,
b3889,i70243,0.062,,
b3889,l519,0.0687,,
b3889,l982,0.0604,,
b3889,m00812,0.067,,
b399,t84498a,0.0755,,
b399,z1509,0.0553,,
b440,j0130,0.0686,,
b440,j850,0.0518,0.0098,
b4481,e0865,0.1592,0.0947,0.0289
b4481,e300,0.1099,,
b4481,e840,0.1242,0.0374,0.0964
b4481,e848,0.1287,0.06,0.0518
b4481,e849,0.0669,0.0353,
b4481,g4736,0.0594,0.0364,
b4481,j4550,0.0687,0.066,0.0156
b451,g031,0.0505,0.1414,
b451,g970,0.0525,,
b451,h468,0.0535,,
b451,h4923,0.0505,,
b451,m6259,0.0515,,
b465,t24202a,0.0799,,
b465,t25231a,0.083,,
b479,d734,0.0544,,
b49,j168,0.1063,0.0705,0.0701
b49,t80211a,0.0621,0.0125,0.0326
b589,p5221,0.0794,,
b59,c469,0.0599,,
b59,t375x6a,0.0606,0.0186,0.0326
b871,d4989,0.0548,,
b871,l97818,0.1015,0.0316,
b871,l97828,0.0708,0.0306,
b91,m21851,0.0836,,
b91,m62562,0.0728,,
b941,d819,0.075,,
b951,e11628,0.0745,0.0579,0.0544
b951,e1169,0.0544,0.0525,0.042
b951,l02612,0.0635,0.0392,0.0415
b951,m86172,0.0615,0.0444,0.0476
b951,o9882,0.11199999999999999,0.1892,0.1882
b952,b965,0.0831,0.0686,0.0577
b952,r7881,0.0678,0.0666,0.0651
b952,z1621,0.1409,0.1577,0.1211
b953,g001,0.0566,,
b954,r7881,0.052000000000000005,0.0532,0.055
b9561,e11621,0.0731,0.0797,0.0845
b9561,e11628,0.0555,0.0646,0.0673
b9561,e1169,0.0727,0.0775,0.0765
b9561,l03115,0.0588,0.055999999999999994,0.0569
b9561,l03116,0.0555,0.0561,0.0579
b9561,m869,0.0576,0.0621,0.073
b9561,r7881,0.1186,0.1276,0.1321
b9562,b965,0.0531,0.0553,0.047
b9562,e11621,0.0734,0.0658,0.0643
b9562,e1169,0.0843,0.081,0.0781
b9562,l02415,0.0581,0.0449,0.045
b9562,l03113,0.0532,0.0482,0.0482
b9562,l03114,0.0573,0.0439,0.0482
b9562,l03115,0.0692,0.0628,0.0602
b9562,l03116,0.0644,0.0614,0.0585
b9562,m869,0.0621,0.0683,0.0597
b9562,r7881,0.0751,0.0867,0.0905
b9562,z8614,0.0715,0.063,0.0675
b957,r7881,0.0897,0.1031,0.1111
b960,s92335a,0.0556,,
b960,s92345a,0.062,,
b961,n10,0.0501,0.043,0.0496
b961,n136,0.0588,0.0635,0.0577
b961,n3000,0.055999999999999994,0.0602,0.0569
b961,n319,0.0522,0.0554,0.0466
b961,n390,0.0963,0.0937,0.1008
b961,r7881,0.0625,0.0582,0.0536
b961,z1612,0.0562,0.0565,0.0571
b961,z1624,0.0648,0.0746,0.0639
b961,z87440,0.054000000000000006,0.0527,0.0446
b9620,e8342,0.0521,0.0518,0.0494
b9620,e860,0.0563,0.0499,0.0488
b9620,e876,0.0551,0.0507,0.0481
b9620,f0390,0.0674,0.0606,0.059000000000000004
b9620,g9341,0.0715,0.0677,0.0632
b9620,n10,0.1127,0.1013,0.0945
b9620,n12,0.0729,0.0606,0.066
b9620,n136,0.0719,0.0761,0.0754
b9620,n179,0.0501,0.0457,0.0449
b9620,n3000,0.0728,0.0668,0.0714
b9620,n390,0.2315,0.2384,0.2305
b9620,r7881,0.0806,0.0645,0.0695
b9620,z1612,0.0775,0.0822,0.0684
b9620,z1624,0.0789,0.0848,0.0864
b9620,z87440,0.0931,0.0922,0.0774
b9623,d593,0.068,,
b9623,n888,0.0618,,
b9623,q873,0.0536,,
b965,n319,0.0652,0.0641,0.0559
b965,t83511a,0.0655,0.0551,0.0622
b965,z1624,0.0792,0.0595,0.0615
b9681,k2950,0.1036,0.1045,0.1198
b9689,r7881,0.1077,0.1179,0.12300000000000001
b970,j218,0.0622,0.1055,0.0831
b9710,b9789,0.3213,0.3404,0.3621
b9710,f88,0.0603,0.0431,0.0452
b9710,j0410,0.0514,0.051,0.0467
b9710,j069,0.0701,0.054000000000000006,0.0919
b9710,j206,0.2033,0.1661,0.0311
b9710,j210,0.0593,0.0324,
b9710,j218,0.22,0.2236,0.1716
b9710,r633,0.0549,0.0254,0.0259
b9710,z825,0.0515,0.0372,0.0335
b9719,j1289,0.0541,0.001,
b9719,z8481,0.057999999999999996,,
b974,j121,0.0788,0.0973,
b9781,j123,0.0613,0.0734,
b9789,j069,0.1734,0.1219,0.1464
b9789,j1289,0.0565,0.0135,0.0024
b9789,j206,0.0617,0.04,0.0141
b9789,j210,0.0513,0.0536,
b9789,j218,0.1993,0.1757,0.1386
b9789,j219,0.0627,0.0441,0.0642
b9789,j45901,0.0502,0.0362,0.0226
b9789,r0603,0.0551,0.0265,0.0312
b9789,r633,0.0627,0.0261,0.0317
b9789,z825,0.0835,0.0543,0.0614
b998,s12601a,0.0504,,
c01,c109,0.1067,0.0669,0.1297
c01,c140,0.0619,0.0153,0.0155
c01,c770,0.055999999999999994,0.092,0.0771
c021,d4989,0.0573,,
c021,g521,0.0862,,
c021,k1233,0.0573,,
c021,l7633,0.0593,,
c029,c140,0.0675,0.0493,
c049,c060,0.0593,0.1078,0.0553
c049,c411,0.2017,0.1076,0.0455
c049,i82721,0.0717,,
c049,t17490a,0.0513,,
c060,c069,0.1345,,
c060,c411,0.1082,0.1488,0.0553
c060,c44329,0.0819,,
c060,l89216,0.0769,,
c069,c411,0.1557,0.1629,
c069,c760,0.0547,0.0127,0.027000000000000003
c07,c44329,0.0625,0.0562,0.0268
c099,c109,0.0809,0.11199999999999999,0.0487
c099,c140,0.0575,0.0441,0.0155
c099,c770,0.0665,0.0646,0.1285
c109,c770,0.0509,0.0437,0.0414
c119,r978,0.0553,,
c139,c4001,0.0508,,
c139,z9002,0.0738,,
c155,j9851,0.0567,0.0217,0.0236
c159,z8501,0.0679,0.0282,0.0394
