,0,1,2,3,4,5
s0240ea,-3.230632,-0.69498324,1.492561,-0.18612932,3.90393,-8.516846
n29,0.93471247,3.6100616,-0.9055948,-0.27828518,-9.415316,-8.557055
e8359,0.936719,3.6088722,-0.91015434,-0.28340024,-9.401628,-8.544197
p375,-0.45487934,5.991232,8.023826,-4.9021664,4.2784476,-4.859936
l22,-0.43757868,5.9793143,7.999169,-4.9081206,4.305052,-4.819461
r530,-0.63602227,0.2752451,0.79808396,-1.2169422,-0.7462415,-2.592565
k5901,-0.6918217,0.27022436,0.7782776,-1.2294927,-0.76455814,-2.6247187
t22231a,-1.3747703,2.8628447,-0.47692424,-3.4190764,0.6432212,-2.2988338
t23241a,-0.8313159,3.1381288,-0.004548427,-3.4267058,0.36644283,-1.8316326
t23251a,-0.6777224,3.401829,-0.026914608,-3.5467463,0.36919123,-1.9776372
t3110,-1.4072031,2.8746228,-0.5129966,-3.5020504,0.4397333,-2.2517567
t23272a,-0.96448535,2.9961295,0.037604555,-3.6324487,0.17533638,-1.7386695
o99834,7.484169,0.7066048,3.9671464,-0.48770237,-3.1346586,-9.770125
z224,7.5133567,0.7041942,3.9786828,-0.48764282,-3.1517246,-9.799987
o723,2.402189,9.778214,0.8239812,-0.3421691,-0.6668705,-8.233704
o751,2.4132235,9.793779,0.84202456,-0.36644962,-0.6639785,-8.25837
m48061,0.28966665,0.09882878,0.18164012,-2.4706366,4.4197907,-8.2404175
m4316,0.27294764,0.08739058,0.18848196,-2.4790514,4.4712977,-8.354578
m48062,0.278388,0.093318306,0.18987769,-2.4756198,4.427223,-8.23807
m4726,0.2695116,0.09087795,0.19118057,-2.4749506,4.432995,-8.279144
m5116,0.26888108,0.09369305,0.19792233,-2.4681385,4.4214573,-8.271086
m5416,0.2701777,0.11388358,0.1909649,-2.4570816,4.358267,-8.139056
d821,-1.2669549,3.2103372,8.268597,0.68299043,-8.246479,-4.9036756
q9381,-1.2720182,3.2059112,8.286065,0.6736974,-8.241656,-4.934448
n50811,-0.36289588,0.75523597,0.9864209,-0.9517957,-0.53443235,-2.4100513
n50812,-0.32779545,0.8279618,0.99601126,-0.95213836,-0.50084674,-2.38267
